Champion,Role,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg Ban Turn,Game Time,CS per min,Damage per min,Gold per min,CSD@15,GD@15,XPD@15
Fiora,Top,87,124,6,45,42,52%,2.6,5.1,31:05:00,8.2,474,405,3,12,-17
Azir,Mid,127,82,6,58,69,46%,3.1,7.2,33:06:00,8.9,570,403,2.6,43,100
Ziggs,ADC,99,82,5,39,60,39%,3.2,5.7,32:40:00,8.7,654,405,-7.1,-216,-28
,,,,,,,,,,,,,,,,
Rell,,108,56,4,54,54,50%,2.7,6.7,31:39:00,1.1,134,235,2,26,-27
Tristana,,107,44,4,37,70,35%,2.8,7.5,31:04:00,9.1,447,433,0.3,180,139
Samira,,62,86,4,29,33,47%,3,4.8,30:28:00,8.6,459,432,-0.1,32,61
Karthus,,46,101,4,18,28,39%,2.5,2.9,31:21:00,7.7,742,406,9.4,-27,353
RekSai,,79,67,4,31,48,39%,2.1,5.2,31:21:00,5.5,311,345,0.3,205,28
Olaf,,77,68,4,40,37,52%,2.6,6.9,32:33:00,5.9,353,344,11.2,184,200
Miss Fortune,,90,49,4,44,46,49%,3.6,6.5,31:26:00,8.9,593,426,0.3,-38,26
Nocturne,,84,55,4,42,42,50%,3.1,5.6,31:38:00,5.8,283,344,5.6,201,210
Wukong,,76,57,4,35,41,46%,2.3,7.1,31:43:00,6.9,347,360,-5,-265,-62
Yone,,66,63,3,35,31,53%,2.7,5.5,30:34:00,8.8,426,426,0.3,79,195
Pyke,,65,57,3,36,29,55%,2.6,6.1,32:40:00,1.6,192,302,4.8,407,-32
Urgot,,59,60,3,23,36,39%,2.2,6.2,31:44:00,8.2,395,396,0,-69,-29
Nami,,93,23,3,49,44,53%,4.7,7.3,32:01:00,0.5,190,250,-11.8,-26,124
Talon,,46,69,3,23,23,50%,2.9,4.1,31:48:00,6.9,419,391,1.3,-213,69
Xerath,,48,51,3,17,31,35%,4.1,6.5,33:32:00,7.8,767,390,-4.7,31,0
Rumble,,46,49,3,24,22,52%,3.3,5.9,31:43:00,6.7,576,370,7.1,442,346
Blitzcrank,,61,32,2,34,27,56%,2.5,7.5,31:42:00,1.1,169,239,1.6,-5,-36
Udyr,,67,24,2,25,42,37%,2.3,5.4,30:55:00,6.4,214,345,16.2,198,403
Draven,,35,55,2,18,17,51%,3.7,5.4,33:34:00,8.5,575,472,9.2,737,233
Lissandra,,49,39,2,28,21,57%,3,8.3,32:30:00,7.8,417,364,2.6,-46,-73
Kalista,,30,54,2,18,12,60%,4.7,4.8,32:53:00,9.1,430,450,9,473,269
Darius,,27,50,2,14,13,52%,2.6,7.5,32:46:00,7.7,393,402,7.7,532,54
